Name|Team|Position|Height|Weight|Age|Address1|Address2
Adam Donachie|BAL|Catcher|74|180|22.99|333 West Camden Street|Baltimore, MD 21201
Paul Bako|BAL|Catcher|74|215|34.69|333 West Camden Street|Baltimore, MD 21201
Ramon Hernandez|BAL|Catcher|72|210|30.78|333 West Camden Street|Baltimore, MD 21201
Kevin Millar|BAL|First Baseman|72|210|35.43|333 West Camden Street|Baltimore, MD 21201
Chris Gomez|BAL|First Baseman|73|188|35.71|333 West Camden Street|Baltimore, MD 21201
Brian Roberts|BAL|Second Baseman|69|176|29.39|333 West Camden Street|Baltimore, MD 21201
Miguel Tejada|BAL|Shortstop|69|209|30.77|333 West Camden Street|Baltimore, MD 21201
Melvin Mora|BAL|Third Baseman|71|200|35.07|333 West Camden Street|Baltimore, MD 21201
Aubrey Huff|BAL|Third Baseman|76|231|30.19|333 West Camden Street|Baltimore, MD 21201
Adam Stern|BAL|Outfielder|71|180|27.05|333 West Camden Street|Baltimore, MD 21201
Jeff Fiorentino|BAL|Outfielder|73|188|23.88|333 West Camden Street|Baltimore, MD 21201
Freddie Bynum|BAL|Outfielder|73|180|26.96|333 West Camden Street|Baltimore, MD 21201
Nick Markakis|BAL|Outfielder|74|185|23.29|333 West Camden Street|Baltimore, MD 21201
Brandon Fahey|BAL|Outfielder|74|160|26.11|333 West Camden Street|Baltimore, MD 21201
Corey Patterson|BAL|Outfielder|69|180|27.55|333 West Camden Street|Baltimore, MD 21201
Jay Payton|BAL|Outfielder|70|185|34.27|333 West Camden Street|Baltimore, MD 21201
Jay Gibbons|BAL|Designated Hitter|72|197|30.0|333 West Camden Street|Baltimore, MD 21201
Erik Bedard|BAL|Starting Pitcher|73|189|27.99|333 West Camden Street|Baltimore, MD 21201
Hayden Penn|BAL|Starting Pitcher|75|185|22.38|333 West Camden Street|Baltimore, MD 21201
Adam Loewen|BAL|Starting Pitcher|78|219|22.89|333 West Camden Street|Baltimore, MD 21201
Daniel Cabrera|BAL|Starting Pitcher|79|230|25.76|333 West Camden Street|Baltimore, MD 21201
Steve Trachsel|BAL|Starting Pitcher|76|205|36.33|333 West Camden Street|Baltimore, MD 21201
Jaret Wright|BAL|Starting Pitcher|74|230|31.17|333 West Camden Street|Baltimore, MD 21201
Kris Benson|BAL|Starting Pitcher|76|195|32.31|333 West Camden Street|Baltimore, MD 21201
Scott Williamson|BAL|Relief Pitcher|72|180|31.03|333 West Camden Street|Baltimore, MD 21201
John Parrish|BAL|Relief Pitcher|71|192|29.26|333 West Camden Street|Baltimore, MD 21201
Danys Baez|BAL|Relief Pitcher|75|225|29.47|333 West Camden Street|Baltimore, MD 21201
